Date,Close
2018-01-05,971.52
2018-01-06,1046.65
2018-01-07,1195.93
2018-01-08,1205.02
2018-01-09,1340.42
2018-01-10,1180.0
2018-01-11,1210.79
2018-01-12,1287.93
2018-01-13,1379.13
2018-01-14,1328.71
2018-01-15,1224.01
2018-01-16,990.0
2018-01-17,1017.8
2018-01-18,1016.59
2018-01-19,1070.28
2018-01-20,1122.92
2018-01-21,1046.0
2018-01-22,1000.0
2018-01-23,986.37
2018-01-24,1093.43
2018-01-25,1070.75
2018-01-26,1049.99
2018-01-27,1113.03
2018-01-28,1179.85
2018-01-29,1126.06
2018-01-30,1063.48
2018-01-31,1128.0
2018-02-01,957.67
2018-02-02,855.15
2018-02-03,958.59
2018-02-04,834.54
2018-02-05,619.0
2018-02-06,725.0
2018-02-07,802.46
2018-02-08,803.99
2018-02-09,894.24
2018-02-10,802.16
2018-02-11,846.93
2018-02-12,854.62
2018-02-13,853.55
2018-02-14,929.94
2018-02-15,934.35
2018-02-16,959.99
2018-02-17,956.98
2018-02-18,924.68
2018-02-19,945.17
2018-02-20,882.23
2018-02-21,856.01
2018-02-22,836.3
2018-02-23,867.23
2018-02-24,832.74
2018-02-25,848.6
2018-02-26,869.46
2018-02-27,886.99
2018-02-28,855.58
2018-03-01,870.8
2018-03-02,859.99
2018-03-03,846.24
2018-03-04,865.1
2018-03-05,843.97
2018-03-06,811.78
2018-03-07,734.9
2018-03-08,682.49
2018-03-09,733.65
2018-03-10,680.0
2018-03-11,716.29
2018-03-12,698.31
2018-03-13,699.11
2018-03-14,581.34
2018-03-15,599.17
2018-03-16,600.99
2018-03-17,519.76
2018-03-18,526.86
2018-03-19,554.4
2018-03-20,570.71
2018-03-21,570.18
2018-03-22,515.33
2018-03-23,544.54
2018-03-24,522.67
2018-03-25,520.63
2018-03-26,464.01
2018-03-27,450.21
2018-03-28,440.21
2018-03-29,377.4
2018-03-30,406.71
2018-03-31,393.49
2018-04-01,384.05
2018-04-02,391.28
2018-04-03,402.59
